,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
0,0.02844687
0.25,-0.014012431
0.5,0.001344596
0.75,-0.005769206
1,0.004851099
1.25,0.000900758
1.5,-0.002515253
1.75,0.000629136
2,0.000647829
2.25,-0.00062063
2.5,0.001384633
2.75,-0.001475187
3,-0.000248256
3.25,0.000962745
3.5,0.000114571
3.75,-0.000342553
4,-0.000522839
4.25,0.00077517
4.5,-0.000535879
4.75,0.000163984
5,0.000126416
5.25,0.000207681
5.5,-0.000524483
5.75,7.7241E-05
6,0.000486886
6.25,-0.000815036
6.5,0.000782355
6.75,-0.000122842
7,-0.000424045
7.25,1.73837E-05
7.5,0.000628682
7.75,-0.000698463
8,0.000393864
8.25,-0.00015093
8.5,-0.000222389
8.75,0.000385157
9,0.000232785
9.25,-0.000386454
9.5,-6.80906E-05
9.75,0.000181627
10,-4.24056E-05
10.25,0.000212712
10.5,-0.000599034
10.75,0.000452392
11,1.35318E-05
11.25,-0.000162253
11.5,-4.72504E-05
11.75,0.000202801
12,-0.000125957
12.25,6.79409E-06
12.5,0.000264863
12.75,-0.000368665
13,-6.81961E-05
13.25,0.000304947
13.5,-0.000247175
13.75,0.00042891
14,-0.000570268
14.25,0.000603078
14.5,-0.00044735
14.75,9.25168E-05
15,2.16859E-05
15.25,4.17323E-05
15.5,-0.000245273
15.75,0.000418514
16,-6.75339E-05
16.25,-0.000275614
16.5,0.000167808
16.75,-0.000149863
17,0.000267454
17.25,0.000202779
17.5,-0.00067173
17.75,-0.000166017
18,0.001256383
18.25,-0.001475189
18.5,0.000730551
18.75,0.00020448
19,-0.00016586
19.25,-9.2851E-05
19.5,-9.17368E-06
19.75,9.28643E-05
20,4.4082E-05
20.25,-0.000201481
20.5,8.79483E-05
20.75,4.02674E-05
21,-0.000158727
21.25,0.000359928
21.5,-0.000291772
21.75,0.000107321
22,4.2083E-06
22.25,-0.000138471
22.5,0.000182593
22.75,-0.000296159
23,0.000330608
23.25,-2.80421E-05
23.5,-0.000146966
23.75,0.000139824
24,-0.000235615
24.25,0.000103971
24.5,-6.28587E-05
24.75,0.000318539
25,-0.000272002
25.25,-6.06783E-05
25.5,0.000359247
25.75,-0.000228593
26,0.000299889
26.25,-0.000827663
26.5,0.000388612
26.75,0.000570729
27,-0.000435838
27.25,-0.00033431
27.5,0.000303741
27.75,0.000194721
28,-0.00025254
28.25,0.000156351
28.5,-4.17104E-05
28.75,-8.56118E-05
29,-7.48604E-05
29.25,-0.000456603
29.5,0.001583334
29.75,-0.001275422
30,-0.000582479
30.25,0.001329141
30.5,0.000188453
30.75,-0.000562447
31,-0.001231337
31.25,0.002568437
31.5,-0.00204108
31.75,0.000553307
32,-0.000313672
32.25,1.93585E-05
32.5,0.000752452
32.75,-0.000372013
33,0.000499504
33.25,-0.00119681
33.5,0.000552725
33.75,0.001259484
34,-0.002911949
34.25,0.003050838
34.5,-0.000964411
34.75,-0.000145051
