,Z_FFT(f)
X Unit(Hz),Y Unit(mm)
X Value,Y Value(Real)
0,-0.000820676
2,0.000162436
4,0.000236786
6,7.43E-05
8,-0.0001002
10,4.75E-05
12,9.31E-05
14,-0.000514522
16,0.000584367
18,-0.000665317
20,7.71E-05
22,-0.001971326
24,0.009620237
26,-0.009870303
28,0.002603064
30,-0.000242894
32,-0.000339436
34,0.000737288
36,0.000297739
38,-0.000763738
40,0.000689663
42,-0.000504855
44,4.86E-05
46,0.001904316
48,-0.006056911
50,0.004913565
52,0.000829514
54,-0.00177899
56,-0.000676907
58,0.002572335
60,-0.003408703
62,0.003509832
64,-0.002046762
66,0.000351225
68,2.87E-05
70,4.28E-05
72,0.002068568
74,-0.002754685
76,-0.001928655
78,0.002411136
80,-0.001471812
82,0.004534524
84,0.00281321
86,-0.011731356
88,0.005613032
90,0.000697172
92,0.000232439
94,-0.000372625
96,-0.004367861
98,0.008932217
100,-0.002203655
102,-0.005521565
104,0.004069062
106,-0.001451814
108,-0.001762564
110,0.001927817
112,0.000966441
114,0.000516314
116,-0.00178796
118,-0.000497763
120,0.001603793
122,0.002783625
124,-0.004623982
126,-0.000872723
128,-0.000299124
130,0.005031783
132,-0.001177521
134,-0.002516272
136,-0.000625339
138,0.004935137
140,-0.007003848
142,0.005321843
144,-0.003069996
146,0.001949695
148,-0.000329947
150,-0.000969978
152,0.003376895
154,-0.004241679
156,0.003399597
158,-0.002071067
160,-0.002164825
162,0.004086546
164,-0.001279152
166,-0.002628812
168,0.002140763
170,0.005664438
172,-0.007485275
174,0.00271912
176,-0.002701734
178,0.003850434
180,-0.003578976
182,0.004731033
184,-0.008824257
186,0.010030387
188,-0.00545217
190,-0.000234259
192,0.00390831
194,-0.002106927
196,-0.002894172
198,0.00550744
200,-0.003007104
202,-0.000272999
204,-0.001386079
206,0.006864872
208,-0.007172979
210,0.000810986
212,0.004054733
214,-0.004989803
216,-0.001740138
218,0.01148726
220,-0.007789244
222,-0.004428999
224,0.006176055
226,-0.002797789
228,-0.000154686
230,0.002030847
232,0.005955285
234,-0.007477785
236,-0.005152207
238,0.011886124
240,-0.015665886
242,0.021492724
244,-0.012846627
246,-0.019573028
248,0.038333688
250,-0.013568696
252,-0.005644079
254,-0.004360647
256,0.007906053
258,-0.002438575
260,-0.001348443
262,0.007420582
264,-0.014915234
266,0.021888192
268,-0.01976722
270,0.005230342
272,0.010739958
274,-0.012824668
276,0.00394695
278,-0.001673291
280,0.004026573
282,-0.00020071
284,-0.006947276
286,0.005304987
288,0.004781214
290,-0.00976614
292,-0.001321941
294,0.01466985
296,-0.010878851
298,0.00464241
300,-0.004553359
302,0.000367142
304,0.007461297
